NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24822467,ubolt missing,4,to be rectified,remain,to be rectified,plug off pipe
28161088,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
27605376,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
27049664,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
26493952,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
25938240,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
25382528,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24826816,thick scaling with severe corrosion perforated grating,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning weld to grating support and paint. confirm number grating ladder to be replaced
24271104,bolt and nuts depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24272799,bolt and nuts badly corroded,3,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts
24272951,bolts not enough threaded,3,to be rectified,revise,to be painted,paint corroded flange bolts and nuts remove seal tape
24837948,thick scaling corrosion on valve bolt and nuts approx 200mm to 300mm,2,to be repaired/ replaced,revise,to be painted,paint corroded valve flange bolts and nuts
24837949,thick scaling corrosion on valve bolt and nuts approx 200mm to 300mm,2,to be repaired/ replaced,revise,to be painted,paint corroded valve flange bolts and nuts
24857546,bolt depleted at flanges connected to bfly valvepipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,valve and bolts actual measurement to be taken at site. prefabricate clamp at yard and replace at site 
24857547,bolt depleted at flanges connected to bfly valvepipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,valve and bolts actual measurement to be taken at site. prefabricate clamp at yard and replace at site 
24857548,bolt depleted at flanges connected to bfly valvepipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,valve and bolts actual measurement to be taken at site. prefabricate clamp at yard and replace at site 
24857549,bolt depleted at flanges connected to bfly valvepipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,valve and bolts actual measurement to be taken at site. prefabricate clamp at yard and replace at site 
24857548,pipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,repair on affected pipe support. prefab and install. at site actual measurement to be taken
24857549,pipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,repair on affected pipe support. prefab and install. at site actual measurement to be taken
24857550,pipe support perforated less than life,4,to be repaired/ replaced,remain,to be repaired/ replaced,repair on affected pipe support. prefab and install. at site actual measurement to be taken
24417795,valve handle broken,3,to be repaired/ replaced,revise,to be rectified,replace valve handle with surplus material. dispose valve
24417796,pipe leaked pipe hanging,3,to be repaired/ replaced,revise,to be rectified,reassess location of leak area. check pipe design on support requirement
24417799,valve leaking,3,to be repaired/ replaced,revise,to be painted,reassess location of leak area
24417841,valve handle broken,3,to be repaired/ replaced,revise,to be rectified,replace valve handle with surplus material. dispose valve
24841515,bolt depleted,2,to be repaired/ replaced,revise,to be painted,check line still in function or not. site confirm on insulation and line tracing
24841518,bolt depleted and spot corrosion on piping,2,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts. further asses on remaining thickness. if within allowable thickness proceed paint
24841520,bolt depleted and valve body corroded,2,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d. check if line still in use
24841561,bolt depleted,2,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d. remove tape
24841563,thick scale with metal loss 35mm,3,to be repaired/ replaced,revise,to be painted,reassess condition of corroded area. if still with allowable thickness proceed with paint. rust grade d
24844093,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24844094,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24844095,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24844096,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24844097,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24844098,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24844098,pitting scale on pipework approx 50mm to 100mm ultrasonic test adjacent area max 561mm min 548 nominal thickness 554mm scattered crevice and atmospheric corrosion at pipework valve flanges bolt and nuts corrosion under pipe support cups,3,to be painted,revise,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24853984,insufficient bolt engaged,3,to be rectified,remain,to be rectified,repairy by tightening insufficient bot and nut
24271103,bolt and nuts at valve depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24271101,bolt and nuts at valve depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24271102,bolt and nuts at valve depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24271103,bolt and nuts at valve depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24271104,bolt and nuts at valve depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24271105,bolt and nuts at valve depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,proceed with nuts replacement. if able to unit shut down proceed replacement. if not replace during turnaround propose to use corrosion resistant allow bolts
24271768,severe thick with scaling corrosion noted on elbow,3,to be repaired/ replaced,revise,to be painted,reassess condition of corroded area . perform ultrasonic test. if still with allowable thickness proceed with paint
24312850,pipe wrapping suspected leaked,3,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by bonlok . prefab short spool of two elbows and install at site by bonlok
24313062,pipe touching at deck,3,to be rectified,remain,to be rectified,pull pipe to insert kontac attach point covering wide circumference
24363001,pipework touching to penetration,3,to be rectified,remain,to be rectified,enlarge pipe colar and execute it during turnaround
24390181, linear indication on parent metal pipe wall loss approximately 279mm therefore thickness are275mm,3,to be repaired/ replaced,revise,to be painted,reinspect and confirm finding defect
24390187, wall loss approximately 346mm therefore thickness are 528mm,3,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by bonlok . prefab short spool of two elbows and install at site by bonlok
24390189, wall loss approximately 258mm therefore thickness are 616mm,3,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by bonlok . prefab short spool of two elbows and install at site by bonlok
24413559,atmospheric corrosion at valveflangesbolt and nuts,3,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d
24413594,atmospheric corrosion at bolt and nuts,3,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts handol and paint. rust grade d
24413656,badly corroded at bolt and nuts,3,to be rectified,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d
24413657,insulation damaged,3,to be rectified,remain,to be rectified,assess location of insulation. if reachable area repairy is required. if above 2m from deck leave as its is. confirm with operation team on current operating temp if caging required
24413659,atmospheric corrosion at pipe nipple,3,to be repaired/ replaced,revise,to be painted,paint corroded flange bolts and nuts power brush and paint. rust grade d
24364776,insulation dented and dislocated,4,to be rectified,remain,to be rectified,reinstate dislocated and dented insulation
24427929,pipe leaked at valve thick scale corrosion onbolt and nuts,1,to be repaired/ replaced,revise,to be rectified,proposed rectify using metal putty devcon
25072659,walkwaysurrounding perimeter beam at north side deteriorated depleted and perforated noted on associated beam and its component structure,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning and install clip into grating support. confirm total number grating to be replaced 
25072660,walkwaysurrounding perimeter beam at north side deteriorated depleted and perforated noted on associated beam and its component structure,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning and install clip into grating support. confirm total number grating to be replaced 
25072661,walkwaysurrounding perimeter beam at north side deteriorated depleted and perforated noted on associated beam and its component structure,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning and install clip into grating support. confirm total number grating to be replaced 
25072662,walkwaysurrounding perimeter beam at north side deteriorated depleted and perforated noted on associated beam and its component structure,1,to be repaired/ replaced,remain,to be repaired/ replaced,replace grating . surface cleaning and install clip into grating support. confirm total number grating to be replaced 
24427965,perforated and on all support stand and sit on cabel collar,2,to be repaired/ replaced,remain,to be repaired/ replaced,hilti cold cutting
24427966,perforated on deck coaming,2,to be repaired/ replaced,remain,to be repaired/ replaced,hilti cold cutting
24458251, thick scaling corrosion on pipework approx 100mm to 200mm ultrasonic test adjacent area max731mm min665mmnominal thickness 762mm,2,to be repaired/ replaced,revise,to be painted,perform ultrasonic test at defect area
24836953,severe corrosion on globe valve and check valve body pipe support corroded with paint flaking,2,to be repaired/ replaced,revise,to be rectified,check valve butterfly valve handle repair
24843690, wall loss approximately 373mm therefore thickness are 183mm,2,to be repaired/ replaced,revise,to be rectified,weld buildup flange to flange spool replacement
25025166,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25025168,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25054855,depleted bolt and nuts insufficient threaded engagement bolt not flush with nuts missing valve component,2,to be repaired/ replaced,revise,to be rectified,install new bolts. install new gearbox cover
24836953,severe corrosion on globe valve and check valve body pipe support corroded with paint flaking,2,to be repaired/ replaced,revise,to be rectified,check valve butterfly valve handle repair
24836955,moderate atmospheric corrosion on valve and bolt connection,2,to be repaired/ replaced,revise,to be painted,check valve and butterfly valve and their piping
24836957,pipe with atmospheric corrosion on bolt connection and support,2,to be repaired/ replaced,revise,to be painted,piping
24842940, thick scaling corrosion on flanges bolt and nuts approx 150mm to 250mm depth thick scaling corrosion on pipework approx 150mm to 250mm depthut adjacent min528mm max548mmnominal thickness 635mm,2,to be repaired/ replaced,revise,to be painted,painting on flanges bolts and nuts
24842971, thick scaling corrosion on flanges bolt and nuts approx 200mm to 300mm depth,2,to be repaired/ replaced,revise,to be painted,painting on flanges bolts and nuts
24842972, thick scaling corrosion on flanges bolt and nuts approx 200mm to 300mm depth,2,to be repaired/ replaced,revise,to be painted,painting on flanges bolts and nuts
24842973,thick scale corrosion on flangesbolt and nuts approx 200mm to 300mm depth,2,to be repaired/ replaced,revise,to be painted,painting on flanges bolts and nuts
24843690, wall loss approximately 373mm therefore thickness are 183mm,2,to be repaired/ replaced,revise,to be rectified,weld buildup flange to flange spool replacement
24903602,atmospheric corrosion at pipeflange severe corroded bolt and nuts,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
24904351,thick scaling corrosion on bolt and nuts approx 200mm to 300mm,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
25055636,depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
25055638,depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
25087663,depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling,2,to be repaired/ replaced,remain,to be repaired/ replaced,install insulating sleeve. install new bolts and nuts. galvanic corrosion
25087666,depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling,2,to be repaired/ replaced,revise,to be painted,revisit after survey
25087670,depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling valves bolt,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
25087681,depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling,2,to be repaired/ replaced,revise,to be painted,revisit after survey
24956226,thick scaling corrosion on bolt and nuts approx 200mm to 300mm,2,to be repaired/ replaced,revise,to be painted,revisit after survey to do power brush and conduct detail visual assessment
25072663,depleted and parted noted on associated grating structure selected area,2,to be repaired/ replaced,remain,to be repaired/ replaced,hilti
24946818,pipe support perforated,2,to be repaired/ replaced,remain,to be repaired/ replaced,pipe support stand boltsed cold work spring actuator cover. power brush and paint valve stem. remove thick scaling. assess valve seat service and leak test
25025166,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25025168,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25054855,depleted bolt and nuts insufficient threaded engagement bolt not flush with nuts missing valve component,2,to be repaired/ replaced,revise,to be rectified,install new bolts install new gearbox cover
24417846,pipe leaked at valve thick scale corrosion on bolt and nuts,3,to be repaired/ replaced,remain,to be repaired/ replaced,repair on piping painting on bolts and nuts
24417905,thick scale corrosion on several bolt and nuts thick scale corrosion on pipe support,3,to be repaired/ replaced,revise,to be rectified,painting on bolts and nuts repairy on pipe support
24418205,thick scale corrosion on pipe support short bolt and thick scale corrosion on valve handlebolt and nuts,3,to be repaired/ replaced,revise,to be painted,painting on pipe support valve handle bolts and nuts
24418209,thick scale corrosion on pipe support short bolt and thick scale corrosion on valve handlebolt and nuts,3,to be repaired/ replaced,revise,to be painted,painting on pipe support valve handle bolts and nuts
24418214,thick scale corrosion on valve bolt and nuts corrosion under pipe supportcups,3,to be repaired/ replaced,revise,to be painted,painting on valve bolts and nuts
24418233,thick scale corrosion and broken handle on valve handle bolt and nuts valve leaked pipe leaked,3,to be repaired/ replaced,revise,to be painted,tighten tubing connection painting on bolts and nuts verify leak location gasket or stem painting on bolts and nuts
24418237,thick scale corrosion on valve,3,to be repaired/ replaced,revise,to be painted,painting on valve body
24418252,thick scale corrosion on bolt nuts and valve,3,to be repaired/ replaced,revise,to be painted,painting on bolts nuts and valve
24418257,thick scale corrosion on valve,3,to be repaired/ replaced,revise,to be painted,paint valve remove pvc tape
24418280,valve handle broken and thick scale corrosion on bolt and nuts,3,to be repaired/ replaced,revise,to be rectified,replace handle painting on bolts nuts and corroded area
24418281,valve leaked and thick scale corrosion on bolt and nuts,3,to be repaired/ replaced,revise,to be painted,reassess on leak of valve leak at valve or flange. paint corroded bolts and nuts
24418526,thick scale corrosion on on several boltnuts and ubolt,3,to be repaired/ replaced,revise,to be painted,paint bolts nuts and ubolts
24418611,uclamps ripped off from pipe support thick scale corrosion on on several boltnuts and ubolt,3,to be repaired/ replaced,revise,to be rectified,repairy on uclamps painting on bolts and nuts
24449063,padding shoe damage on pipe support due to unproper padding,3,to be repaired/ replaced,revise,to be rectified,reinstate padding paint corroded area at pipe support
24824834,perforatedcorroded bracing at beam adjacent to helideck,3,to be repaired/ replaced,revise,to be rectified,repair perforated bracing at beam cut and replace corroded open drain hole. install missing bolts and nuts
24832781,atmospheric corrosion scaling with pitting 24mm depth at pipe,3,to be repaired/ replaced,revise,to be rectified,perform fitness for service to determine minimum required thickness and propose paint. if within allowable thickness repairy composite wrapping
24832784,badly corroded scaling at valvebolt and flanges,3,to be repaired/ replaced,revise,to be painted,remove scale and reassess. if within allowable thickness
24832783,badly corroded at studbolt,3,to be repaired/ replaced,remain,to be repaired/ replaced,on bolts and nuts painting on flange
24832784,badly corroded at studbolt,3,to be repaired/ replaced,remain,to be repaired/ replaced,on bolts and nuts painting on flange
24832785,badly corroded at studbolt,3,to be repaired/ replaced,remain,to be repaired/ replaced,on bolts and nuts painting on flange
24856448,bolt connection with severe corrosion associated thick scale on gate valve,3,to be repaired/ replaced,revise,to be painted,power brush and reassess badly corroded bolts and nuts paint adjacent bolts and nuts
24123296,thick scaling with major wall loss on pipe od depth 25mm,3,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement unit shutdown. reassess on thick scaling pipe to determine pipe thickness above matpaint below matrepair. perform repair during turnaround to gather all repair in au line in same window
24190130,associated valve leaked,3,to be repaired/ replaced,revise,to be painted,investigate source of leak. if leak. if coming from truion gasket replace gasket
24190859,corrosion scaling with pitting noted on pipe45mm depth,3,to be repaired/ replaced,revise,to be painted,paint corroded area
24190865,valve handle perforated,3,to be repaired/ replaced,revise,to be rectified,replace hand wheel with surplus material. dispose valve
24191031,severe corrosion scaling noted on flange,3,to be repaired/ replaced,revise,to be painted,paint
24191032,insulation damaged,3,to be repaired/ replaced,revise,to be rectified,rectify and seal damaged insulation
24191033,severe corrosion scaling noted on pipeflangesbolt and nuts,3,to be repaired/ replaced,revise,to be painted,strip insulation and inspect pipe. if badly corroded replace flange to flange
24058733,several studbolt in bad condition and depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace nuts and bolts at end flange. paint other flange
24058734,several studbolt in bad condition and depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace nuts and bolts at end flange. paint other flange
24058735,several studbolt in bad condition and depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace nuts and bolts at end flange. paint other flange
24058736,several studbolt in bad condition and depleted,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace nuts and bolts at end flange. paint other flange
24088150,pipe noted in temporary wrap,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace flange to flange
24088151,pipe noted in temporary wrap,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace flange to flange
24088152,pipe noted in temporary wrap,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace flange to flange
24088153,pipe noted in temporary wrap,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace flange to flange
24088842, wall loss approximately 306mm therefore thickness are 248mm,3,to be repaired/ replaced,revise,to be painted,check complete iso and piping and instrument diagram to redesign vent with goose neck. if current vent design is vertical
24095683,scattered corrosion with scaling observed on pipe and elbow,3,to be repaired/ replaced,revise,to be painted,sweep and spot
24110413,several studbolt were in badly corroded and depleted,3,to be repaired/ replaced,revise,to be painted,power brush and reassess bolts and nuts condition paint badly corroded valve
24110414,badly corroded noted on handle valve,3,to be repaired/ replaced,revise,to be painted,paint valve body
24123615,thick scaling with major wall loss on pipe od depth25mm,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24169781,thick scaling corrosion on piping flange and bolt noted with major wall loss,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24169783,depleted piping component due to severe corroded,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24169784,depleted ball valve and component due to severe corroded,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24169785,depleted flange bolt,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24169786,depleted flange bolt and valve handle,3,to be repaired/ replaced,revise,to be painted,reassess condition of valve. if within allowable thickness paint
24169787,depleted flange bolt and valve handle,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24169788,depleted ball valve body flange and bolt,3,to be repaired/ replaced,revise,to be painted,reassess condition of valve. if within allowable thickness paint
24169801,depleted flange bolt,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24942856,associated nozzle flange gasket on riser pipe before sdv depleted,3,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
24903802,atmospheric corrosion at pipeflange severe corroded bolt and nuts,3,to be repaired/ replaced,revise,to be rectified,pull smaller pipe to left and anchor with ubolts. if not possible install aluminum plate
24942871,associated flange bolt on major and minor barrel noted with atmospheric corrosion and depleted due to dissimilar material,3,to be repaired/ replaced,revise,to be painted,paint nut bolts and flange
24974300,severe corrosion and parted handle scale corrosion on pipe flanges flanges bolt,3,to be repaired/ replaced,revise,to be rectified,repair handle with surplus or dispose valve paint pipe flange and corroded bolts
24907513,support structure for grating observed secured and properly connected to shell severe corrosion with scale build up on support structure,3,to be repaired/ replaced,revise,to be painted,remove rust scale power brush and paint remove rust scale abd paint all nuts bolts at bracket
24907514,monkey ladder observed without abnormalities base plate for monkey ladder with severe corrosion,3,to be repaired/ replaced,revise,to be rectified,metal putty devcon
24943823,pipe support parted with severe corrosion attack,3,to be repaired/ replaced,revise,to be rectified,corroded floor and support. powerbrush and paint. remove parted support . replace with unwelded pipe support
24943824,bolt connection to valve with corrosion in general,3,to be repaired/ replaced,revise,to be painted,power brush and paint
24943826,moderate corrosion with scale build up on support structure,3,to be repaired/ replaced,revise,to be painted,remove loose rust and paint insert steel plate and clip
24943827,severe corrosion on support structure with thick scaling,3,to be repaired/ replaced,revise,to be painted,remove loose rust and paint insert steel plate and clip
24836982,pipe with leaking near reducer to fcv4000a connection possibly due to damage glass reinforced epoxy coating,2,to be rectified,remain,to be rectified,cut at label a sectional replacement from a to flange coect with wrapping or socket replacement pipe
25014310,direct contactpipe fretting with other piping flange no vibration observed during inspection time,2,to be rectified,remain,to be rectified,pull pipe to left and anchor with existing pipe support. if not possible install aluminum plate
25014459,pipe direct contact with other piping with localised corrosion observed,2,to be rectified,remain,to be rectified,pull pipe to left and anchor with existing pipe support. if not possible install aluminum plate paint corroded area
25014464,pipe direct contact to support beam noted,2,to be rectified,remain,to be rectified,pull pipe to left and anchor with existing pipe support. if not possible install aluminum plate paint corroded area
25014469,pipe direct contact with pipe support and piping crevice corrosion observed,2,to be rectified,revise,to be painted,reassess intend of top beam
25014483,pipe direct contact to support and crevice corrosion with scaling observed,2,to be rectified,remain,to be rectified,lift pipe surface preparation and paint
25069493,valve handle perforated,2,to be rectified,remain,to be rectified,repair and paint
25069495,pipe fretting with grating,2,to be rectified,remain,to be rectified,trim grating and paint pipe
25069498,pipe fretting with cable tray support,2,to be rectified,remain,to be rectified,pull pipe to left and anchor with ubolts paint corroded pipearea
25069709,pipework hanging from pipe support,2,to be rectified,remain,to be rectified,review pipe support design whether pipe required pipe support
25092233,inactive corrosion scaling with pitting at pipe24mm depth,2,to be rectified,revise,to be painted,paint whole pipe support
25092312,piping hanging from pipe support no padding shoe on pipe support piping direct contact to grating,2,to be rectified,remain,to be rectified,lift pipe surface preparation paint on corroded area. install irod on support
25092316,piping hanging from pipe support no padding shoe on pipe support piping direct contact to grating,2,to be rectified,remain,to be rectified,trim grating
25092317,piping hanging from pipe support no padding shoe on pipe support piping direct contact to grating,2,to be rectified,remain,to be rectified,lift pipe paint and install irod. review pipe support design whether pipe required pipe support
24904352,scattered and atmospheric corrosion on pipework valvesflangesbolt and nuts pipe direct contact with other pipe,2,to be rectified,revise,to be painted,paint corroded pipe flange bolts and nuts no further action on contacted between pipe and glass reinforced epoxy
25012131,close view of insulation damaged on middle section and insulation detached noted on bottom section with exposed steel and no evidence of corrosion under insulation observed on vessel boot,2,to be rectified,remain,to be rectified,repair insulation
25013840,direct contact with other pipework,2,to be rectified,revise,to be painted,no further action. if contact with glass reinforced epoxy piping is minimal
25013871,no padding shoe at pipe support,2,to be rectified,remain,to be rectified,lift pipe surface preparation and paint
25013874,pipework hanging from pipe support,2,to be rectified,remain,to be rectified,review pipe support design whether pipe support required
25013876,pipework direct contact to another selected areawork hanging from pipe support,2,to be rectified,remain,to be rectified,drop valve and install blind flange upstream of valve. if no sign of sagging at center between two pipe support not more than 15mm then no further action
25013886,valve handle broken,2,to be rectified,remain,to be rectified,repairy at fabrication shop
24903609,atmospheric corrosion at valveflangebolt and nuts gasket deterioration,3,to be rectified,revise,to be painted,power brush and paint on bolts and nuts to cover fuel opening prior to power brushing
24903632,pipe fretting to other piping,2,to be rectified,remain,to be rectified,lift pipe surface preparation and paint to insert aluminum teflon kevlar sheet
25055633,pipework direct contact to platform structure,2,to be rectified,remain,to be rectified,pull pipe to insert aluminum teflon kevlar sheet preferable would be kevlar
25087665,grayloc direct contact to glass reinforced epoxy pipe pipe support not properly installed,2,to be rectified,remain,to be rectified,prefab support and install using hilti repairy to turn graylock away from glass reinforced epoxy pipe
25087667,piping hanging from pipe support piping direct contact to another piping,2,to be rectified,remain,to be rectified,pull pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. review pipe support design whether pipe required pipe support
25009298,direct contact with cable tray,2,to be rectified,remain,to be rectified,pull pipe to insert aluminum teflon kevlar sheet preferable would be kevlar
25009300,direct contact with wellhead body,2,to be rectified,remain,to be rectified,perform survey. if require adjustment to add length as required
25009423,pipework hanging from pipe support caging removed from pipework,2,to be rectified,remain,to be rectified,if no sign of sagging at center between two pipe support not more than 15mm then no further action. reinstate cage
25009425,caging removed from pipework,2,to be rectified,remain,to be rectified,reinstate cage
25077498,missing insulation cladding,2,to be rectified,remain,to be rectified,check if line still in use. if still in use then reinstate. if not in use then propose remove. reinstate heat tracing and insulation
24903604,cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24903604,cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24903604,cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24903604,cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24903604,cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
